hex_id,wiki_n_total,wiki_oldest_year,wiki_year_mean,wiki_year_p10,wiki_count_pre1500,wiki_count_1500_1700,wiki_count_1700_1860,wiki_count_1860_1940,wiki_count_post1940,wiki_pre1500_dummy,wiki_pre1700_dummy,wiki_pre1860_dummy,historical_anchor_score,historical_anchor_score_log
89390ca0497ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca3387ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca007bffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb8c87ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb0adbffff,4.0,1928.0,1972.5,1945.7,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.6931471805599453
89390cb5143ffff,2.0,1962.0,1980.5,1965.7,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
89390cb1e37ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cbac37ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca202bffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb02a3ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca2317ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb1a1bffff,3.0,1933.0,1942.6666666666667,1933.2,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0986122886681098
89390cbab07ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca3673ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca3257ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb0dc7ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb542fffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb09abffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb1b4bffff,20.0,1591.0,1939.8,1808.5,0.0,1.0,3.0,1.0,15.0,0.0,1.0,1.0,10.0,2.3978952727983707
89390ca2603ffff,9.0,1924.0,1974.6666666666667,1928.8,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,3.0,1.3862943611198906
89390cb1d07ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb0173ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca2447ffff,1.0,1991.0,1991.0,1991.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
89390ca0653ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cba9d7ffff,1.0,2003.0,2003.0,2003.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
89390cb03d3ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca1dcbffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca3543ffff,2.0,1991.0,1998.0,1992.4,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
89390ca0237ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb10b3ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca3127ffff,1.0,1987.0,1987.0,1987.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
89390cb282bffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca1593ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb0c97ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb087bffff,2.0,2007.0,2008.5,2007.3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
89390ca24d3ffff,1.0,1983.0,1983.0,1983.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
89390cb1bd7ffff,12.0,1635.0,1917.3333333333333,1712.7,0.0,2.0,0.0,1.0,9.0,0.0,1.0,1.0,7.0,2.0794415416798357
89390cb0043ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca20b7ffff,3.0,1894.0,1952.3333333333333,1908.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.6931471805599453
89390cba8a7ffff,3.0,1999.0,2000.3333333333333,1999.4,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
89390ca3413ffff,6.0,1831.0,1959.8333333333333,1885.5,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,2.0,1.0986122886681098
89390cb2b17ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca0107ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca1463ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb0b67ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca2bdbffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb5273ffff,2.0,1980.0,1989.5,1981.9,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
89390cb51cfffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb1ec3ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb032fffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca23a3ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb1aa7ffff,5.0,1860.0,1947.2,1890.4,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0986122886681098
89390cbab93ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb0e53ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca2ec7ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb54bbffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb0a37ffff,1.0,1924.0,1924.0,1924.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6931471805599453
89390ca268fffff,3.0,1922.0,1930.0,1924.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.3862943611198906
89390cb1d93ffff,2.0,1985.0,1992.0,1986.4,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
89390ca2273ffff,2.0,1986.0,1986.5,1986.1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
89390cb1977ffff,8.0,1948.0,1979.5,1950.1,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
89390cbaa63ffff,1.0,1898.0,1898.0,1898.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6931471805599453
89390cb155bffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca35cfffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb0c0bffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb568fffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca31b3ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb0d23ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca2d97ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb538bffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb0907ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb899bffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb1c63ffff,1.0,1864.0,1864.0,1864.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6931471805599453
89390cb00cfffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca2143ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cbad4fffff,1.0,2002.0,2002.0,2002.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
89390cb1847ffff,7.0,1909.0,1963.4285714285713,1915.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,3.0,1.3862943611198906
89390ca05afffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cba933ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca309bffff,2.0,1905.0,1958.0,1915.6,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6931471805599453
89390cb2ba3ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca0193ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb1027ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca3083ffff,2.0,1905.0,1928.0,1909.6,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6931471805599453
89390cb720bffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb8983ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb5677ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca2c67ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb236bffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb525bffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca284bffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb03bbffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca242fffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb1b33ffff,12.0,1777.0,1929.8333333333333,1870.6,0.0,0.0,1.0,5.0,6.0,0.0,0.0,1.0,7.0,2.0794415416798357
89390ca2013ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb2bbbffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cba803ffff,1.0,1961.0,1961.0,1961.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
89390ca336fffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca34b7ffff,10.0,1729.0,1940.2,1749.7,0.0,0.0,2.0,1.0,7.0,0.0,0.0,1.0,5.0,1.791759469228055
89390ca0063ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb5547ffff,1.0,2007.0,2007.0,2007.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
89390cb0ac3ffff,1.0,1961.0,1961.0,1961.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
89390ca2b37ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb223bffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cba94bffff,1.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
89390cb1a03ffff,1.0,1991.0,1991.0,1991.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
89390ca365bffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca05c7ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb11cbffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb2943ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca2e23ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb5417ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb0993ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca0e73ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb015bffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca21cfffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cbaddbffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb18d3ffff,2.0,1966.0,1966.5,1966.1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
89390ca063bffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cbad67ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca215bffff,4.0,1962.0,1988.25,1971.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
89390ca352bffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb2c2fffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca310fffff,3.0,1985.0,1993.6666666666667,1987.6,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
89390ca157bffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb0863ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb0447ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca24bbffff,3.0,1979.0,1979.6666666666667,1979.2,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
89390cba88fffff,2.0,1999.0,2004.5,2000.1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
89390ca144bffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb55d3ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb0b4fffff,2.0,1991.0,1991.5,1991.1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
89390cb1c7bffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca2bc3ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca2577ffff,1.0,1925.0,1925.0,1925.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6931471805599453
89390cb1eabffff,2.0,2003.0,2003.0,2003.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
89390cb0317ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca238bffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb1a8fffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cbab7bffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca32cbffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb29cfffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb0e3bffff,1.0,2018.0,2018.0,2018.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
89390ca2eafffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb54a3ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca2a93ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb5087ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca2677ffff,1.0,1893.0,1893.0,1893.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6931471805599453
89390cb1d7bffff,1.0,1857.0,1857.0,1857.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0986122886681098
89390ca225bffff,1.0,1996.0,1996.0,1996.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
89390cbae67ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb1543ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca35b7ffff,7.0,1877.0,1948.2857142857142,1882.4,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,1.0986122886681098
89390ca02abffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca319bffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb0d0bffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb53a3ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb5373ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca2547ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb1c4bffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb00b7ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cbad37ffff,2.0,1969.0,1972.5,1969.7,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
89390ca212bffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cb182fffff,3.0,1831.0,1908.0,1851.4,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,1.3862943611198906
89390ca0597ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390cba91bffff,1.0,1998.0,1998.0,1998.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
89390cb1413ffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89390ca3487ffff,7.0,1796.0,1917.4285714285713,1814.6,0.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,6.0,1.9459101490553132
89390cb2b8bffff,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
