Num_Inscripcion;Razon_Social;Tipo_Via;Calle;Numero;Aproximacion;Cod_Postal;Poblacion;Barrio;Distrito;CIF;Fecha_Registro;Fecha_IPM;Primer_Tlfn;Email;Internet;Categoria;Ambito;Num_Socios;NumInscripcion_Fed_Vinculada;RazonSocial_Fed_Vinculada;FX_Carga
"910";"ASOCIACION DE MADRES Y PADRES DE ALUMNOS COLEGIO PUBLICO RAMON PEREZ DE AYALA";"CALLE";"MOTILLA DEL PALANCAR";"19";"";"28043";"MADRID";"CANILLAS";"HORTALEZA";"G79462305";"1993-05-31";"1995-04-28";"913886392";"amparpa@outlook.es";"http://www.amparamonperezayala.org ";"DE MADRES Y PADRES DEL ALUMNADO";"MUNICIPIO";"195";"407";"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO 'FRANCISCO GINER DE LOS RIOS' - FAPA";"2025-12-31 04:15:15.2"
"914";"ASOCIACION DE PADRES DE ALUMNOS COLEGIO PUBLICO PARQUE ALUCHE";"CALLE";"QUERO";"47";"PORTAL A";"28024";"MADRID";"ALUCHE";"LATINA";"G28800613";"1993-06-09";"1993-10-29";"658965071";"ampa.parquealuche.madrid@gmail.com";"http://ampaparquealuche.blogspot.com";"DE MADRES Y PADRES DEL ALUMNADO";"MUNICIPIO";"25";"407";"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO 'FRANCISCO GINER DE LOS RIOS' - FAPA";"2025-12-31 04:15:15.2"
"916";"ASOCIACION FAMILIAR SAN VICENTE DE PAUL";"CALLE";"PORTALEGRE";"112";"BJ. IZDA.";"28025";"MADRID";"ABRANTES";"CARABANCHEL";"G78542750";"1993-06-18";"1997-05-27";"617119976";"asociacionfamliarsvp@gmail.com";"";"OTRAS DE ACCION SOCIAL";"BARRIO";"93";" ";" ";"2025-12-31 04:15:15.2"
"917";"ASOCIACION DE VECINOS COLONIA CAMINO ALTO SAN ISIDRO";"CAMINO";"ALTO DE SAN ISIDRO";"5";"LOCAL";"28019";"MADRID";"SAN ISIDRO";"CARABANCHEL";"G80083108";"1993-06-23";"2021-05-05";"914727708";"avaltosanisidro@gmail.com";"http://www.avaltosanisidro.org";"VECINALES";"BARRIO";"102";"67";"FEDERACION REGIONAL DE ASOCIACIONES VECINALES DE MADRID - FRAVM";"2025-12-31 04:15:15.2"
"918";"ASOCIACION DE MADRES Y PADRES DE ALUMNOS COLEGIO DE EDUCACION INFANTIL Y PRIMARIA ISAAC PERAL";"GLORIETA";"RUFINO NOVALVOS";"5";" ";"28025";"MADRID";"PUERTA BONITA";"CARABANCHEL";"G83374504";"1993-07-12";"1996-07-26";"666283586";" ";"";"DE MADRES Y PADRES DEL ALUMNADO";"BARRIO";"100";"407";"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO 'FRANCISCO GINER DE LOS RIOS' - FAPA";"2025-12-31 04:15:15.2"
"920";"CLUB DE CALVA CIUDAD LINEAL";"CALLE";"CARLOS HERNANDEZ";"33";"1º B";"28017";"MADRID";"VENTAS";"CIUDAD LINEAL";"G79847653";"1993-06-24";"2002-01-31";"914089573";"miguel_molero@hotmail.com";"";"DEPORTIVAS";"MUNICIPIO";"19";" ";" ";"2025-12-31 04:15:15.2"
"921";" ASOCIACION DE PERSONAS CON DISCAPACIDAD ALAMEDA (ADALA)";"CALLE";"MEDINA DE POMAR";"25";"";"28042";"MADRID";"ALAMEDA DE OSUNA";"BARAJAS";"G80572308";"1993-07-06";"1996-03-29";"917476251";"adala.discapacidad@gmail.com";"";"DE SALUD Y APOYO MUTUO";"MUNICIPIO";"109";"975";"PLENA INCLUSION MADRID. ORGANIZACION DE ENTIDADES EN FAVOR DE PERSONAS CON DISCAPACIDAD INTELECTUAL DE MADRID";"2025-12-31 04:15:15.2"
"922";"ASOCIACION CULTURAL ABRANTES - ASCA";"AVENIDA";"ABRANTES";"111";" ";"28025";"MADRID";"ABRANTES";"CARABANCHEL";"G80525231";"1993-07-16";"1995-07-28";"913414265";"terevegasanchez@gmail.com";"";"CULTURALES Y CASAS REGIONALES";"MUNICIPIO";"70";" ";" ";"2025-12-31 04:15:15.2"
"926";"ASOCIACION NAZARET";"CALLE";"CUART DE POBLET";"11";"D";"28047";"MADRID";"LUCERO";"LATINA";"G79476297";"1993-09-08";"1997-09-26";"699102994";"anazaret@gmail.com";"http://www.nazaretasociacion.org";"OTRAS DE ACCION SOCIAL";"BARRIO";"30";"1565";"FEDERACION INJUCAM PARA LA PROMOCION DE LA INFANCIA Y LA JUVENTUD";"2025-12-31 04:15:15.2"
"928";"ASOCIACION DE AFECTADOS DE LA UNIDAD DE ACTUACION 18/18 MADRID";"CALLE";"BOIRO";"69";" ";"28042";"MADRID";"CORRALEJOS";"BARAJAS";"";"1993-10-05";;"911398597";"";"";"VECINALES";"BARRIO";"9";" ";" ";"2025-12-31 04:15:15.2"
