Num_Inscripcion;Denominacion;Tipo_Via;Calle;Numero;Aproximacion;Cod_Postal;Poblacion;Barrio;Fecha_Registro;Primer_Tlfn;Email;Internet;Categoria;Ambito;Num_Personas;Fecha_IPM;FX_Carga
"3576";"VILLAVERDE CRIA ";"CALLE";"GETAFE";"14";"PISO 2º -LETRA E";"28021";"MADRID";"VILLAVERDE ALTO C.H.";"2019-02-12";"";"villaverde.cria@gmail.com";"";"FAMILIAS";"DISTRITO";"10";;"2025-12-31 04:15:18.39"
"3577";"PLATAFORMA MADRID AGROECOLOGICO";"CALLE";"MEQUINENZA";"20";"ESC. 2ª, 1º-F";"28022";"MADRID";"CANILLEJAS";"2019-02-12";"653504040";"madridagroecologico@gmail.com";"";"MEDIOAMBIENTALES Y ECOLOGISTAS";"MUNICIPIO";"19";;"2025-12-31 04:15:18.39"
"3595";"PLATAFORMA SALVAD LAS PEQUEÑAS LIBRERIAS DE LA COMUNIDAD DE MADRID";"CALLE";"SIERRA MOLINA";"26";"LIBRERIA PENCIL";"28053";"MADRID";"SAN DIEGO";"2019-02-25";"606540367";"plataformasplm@gmail.com";"";"COMERCIANTES,EMPRESARIOS,PROFESIONALES Y AUTONOMOS";"COMUNIDAD DE MADRID";"250";;"2025-12-31 04:15:18.39"
"3599";"BARRAQUIANOS DE TRAGYCOM ";"CALLE";"SIRIO";"42";"13ª LETRA A";"28007";"MADRID";"ESTRELLA";"2019-03-12";"629910641";"tragycom@gmail.com";"";"CULTURALES Y CASAS REGIONALES";"SIN DETERMINAR";"28";;"2025-12-31 04:15:18.39"
"3621";"COLECTIVO CIUDADANO POR EL DEPORTE, LA CULTURA Y LA CONVIVENCIA CANCHAS ROJAS";"CALLE";"ARROYO DE LA BULERA";"11";"BLOQUE D, PISO 7ª, LETA A";"28021";"MADRID";"BUTARQUE";"2019-04-01";"662422180";"daysycuevaruiz@gmail.com";"";"DEPORTIVAS";"BARRIO";"3";;"2025-12-31 04:15:18.39"
"3649";"COMUNIDAD CRISTIANA DEL ESPIRITU SANTO";"PASEO";"SANTA MARIA DE LA CABEZA";"12";"LOCAL, PUERTA B";"28045";"MADRID";"PALOS DE MOGUER";"2019-05-14";"915130072";"oficina.cer@gmail.com";"";"OTRAS DE ACCION SOCIAL";"ESTATAL";"3";;"2025-12-31 04:15:18.39"
"3679";"SINDICATO ESTATAL DE PROFESIONALES DE SEGURIDAD Y SALUD -SEPROSS";"CALLE";"PUENTE LA REINA";"39";"PLANTA 5ª, PUERTA O";"28050";"MADRID";"VALVERDE";"2019-02-12";"659906671";"";"";"COMERCIANTES,EMPRESARIOS,PROFESIONALES Y AUTONOMOS";"ESTATAL";"557";;"2025-12-31 04:15:18.39"
"3680";"ILUSTRE COLEGIO DE PROCURADORES DE MADRID";"CALLE";"BARBARA DE BRAGANZA";"6";"PLANTA BAJA";"28004";"MADRID";"JUSTICIA";"2019-02-12";"913081323";"decano@icpm.es";"";"COMERCIANTES,EMPRESARIOS,PROFESIONALES Y AUTONOMOS";"COMUNIDAD DE MADRID";"2123";;"2025-12-31 04:15:18.39"
"3681";"COLECTIVO CSA PLAYA GATA ";"AVENIDA";"CARDENAL HERRERA ORIA";"80";"PORTAL B";"28034";"MADRID";"VALVERDE";"2019-06-07";"6253215109";"CSAPLAYAGATA@GMAIL.COM";"";"OTRAS DE ACCION SOCIAL";"MUNICIPIO";"3";;"2025-12-31 04:15:18.39"
"3682";"APOSTOLICAS DEL CORAZON DE JESUS OBRAS SOCIALES";"CALLE";"NICASIO GALLEGO";"24";"";"28010";"MADRID";"TRAFALGAR";"2019-02-12";"914454169";"covoluntario@proyectosluzcasanova.org";"";"OTRAS DE ACCION SOCIAL";"ESTATAL";"6";"2020-09-10";"2025-12-31 04:15:18.39"
"3684";"COLEGIO OFICIAL DE AGENTES COMERCIALES DE LA COMUNIDAD DE MADRID";"CALLE";"LADERA DE LOS ALMENDROS";"40";"";"28032";"MADRID";"VALDEBERNARDO       ";"2019-02-12";"609282374";"coaccm@coaccm.org";"";"COMERCIANTES,EMPRESARIOS,PROFESIONALES Y AUTONOMOS";"COMUNIDAD DE MADRID";"1016";;"2025-12-31 04:15:18.39"
"3685";"LA GARBANCITA ECOLOGICA, S. COOP. MAD. DE CONSUMO RESPONSABLE AUTOGESTIONADO";"CALLE";"PUERTO DEL MILAGRO";"8";"LOCAL";"28018";"MADRID";"PALOMERAS BAJAS";"2019-04-05";"914291119";"lacestabasica@lagarbancitaecologica.org";"";"MEDIOAMBIENTALES Y ECOLOGISTAS";"MUNICIPIO";"33";;"2025-12-31 04:15:18.39"
"3721";"MADRID BORDE SUR";"CALLE";"ANTONIO DE LEYVA";"41";"4º DCHA";"28019";"MADRID";"COMILLAS";"2019-08-23";"638154659";"a.lopezparejo@gmail.com";"";"OTRAS DE ACCION SOCIAL";"MUNICIPIO";"4";;"2025-12-31 04:15:18.39"
"3772";"FAM Y LIAS. RECURSOS PARA LA DIVERSIDAD S. COOP. MAD.";"CALLE";"ESTEBAN CARROS";"8";"";"28053";"MADRID";"ENTREVIAS";"2020-01-27";"918320114";"contacta@famylias.org";"http://www.famylias.org";"OTRAS DE ACCION SOCIAL";"MUNICIPIO";"3";;"2025-12-31 04:15:18.39"
"3825";"ASOCIACION BAUTISTA REFORMADA DEL PACTO DE GRACIA";"CALLE";"FUENDETODOS";"30";"";"28047";"MADRID";"LOS CARMENES";"2020-08-25";"671653536";"info@ibrpg.org";"http://www.ibrpg.org";"OTRAS DE ACCION SOCIAL";"ESTATAL";"84";;"2025-12-31 04:15:18.39"
"3834";"A3CALLES CUIDADOS EN TERRITORIO S COOP MAD";"AVENIDA";"DONOSTIARRA";"13";"";"28027";"MADRID";"CONCEPCION";"2020-08-27";"617879565";"a3callescuidados@gmail.com";"";"DE PERSONAS CONSUMIDORAS Y USUARIAS";"COMUNIDAD DE MADRID";"10";;"2025-12-31 04:15:18.39"
"3840";"AEROPUERTO PARTICIPA";"CALLE";"GARGANCHON";"111";"PORTAL 1, 1ºB";"28042";"MADRID";"AEROPUERTO";"2020-09-10";"644011435";"info@aeropuertoparticipa.es";"http://www.aeropuertoparticipa.es";"VECINALES";"COMUNIDAD DE MADRID";"7";;"2025-12-31 04:15:18.39"
"3846";"EL DESVAN SOCIAL S. COOP. MAD.";"PLAZA";"MEMORIA VINCULANTE";"3";"BAJO A";"28041";"MADRID";"ORCASITAS";"2020-09-15";"658329085";"";"http://www.eldesvansocialcoop.com";"OTRAS DE ACCION SOCIAL";"COMUNIDAD DE MADRID";"2";;"2025-12-31 04:15:18.39"
