hex_id,tipologia_train
89390ca0497ffff,1
89390cb0adbffff,0
89390cb5143ffff,0
89390cb1b4bffff,0
89390ca2603ffff,1
89390cb1d07ffff,0
89390ca3543ffff,1
89390cb087bffff,1
89390cb1bd7ffff,0
89390ca3413ffff,1
89390ca23a3ffff,1
89390cb0a37ffff,0
89390ca268fffff,1
89390ca35cfffff,1
89390cb538bffff,1
89390cb1847ffff,1
89390cba933ffff,0
89390ca309bffff,0
89390ca242fffff,1
89390cb1b33ffff,0
89390ca2013ffff,1
89390ca34b7ffff,0
89390cb0ac3ffff,0
89390cba94bffff,0
89390ca21cfffff,1
89390ca352bffff,1
89390cb0863ffff,1
89390ca35b7ffff,1
89390ca2547ffff,1
89390ca212bffff,1
89390cb182fffff,1
89390ca3487ffff,1
89390ca017bffff,1
89390cb0bdbffff,1
89390ca2417ffff,1
89390cb1b1bffff,0
89390cb0aabffff,0
89390ca0337ffff,1
89390cb1ba7ffff,1
89390ca2087ffff,1
89390ca00d7ffff,1
89390ca2373ffff,1
89390cb1a77ffff,0
89390ca2e97ffff,1
89390cb0a07ffff,0
89390cb1d63ffff,0
89390cb1947ffff,1
89390cb535bffff,1
89390ca2113ffff,1
89390ca346fffff,0
89390cb0bc3ffff,1
89390cb0a4fffff,1
89390cb1b03ffff,0
89390ca0033ffff,1
89390cb0e6bffff,0
89390cb1b8fffff,0
89390ca235bffff,1
89390ca36b7ffff,1
89390ca03abffff,1
89390ca2647ffff,1
89390ca222bffff,1
89390cb192fffff,1
89390ca3457ffff,0
89390ca014bffff,1
89390cb0a7bffff,0
89390ca26d3ffff,1
89390cb53cfffff,1
89390ca2187ffff,1
89390ca2473ffff,1
89390cb1b77ffff,0
89390ca2057ffff,1
89390ca342bffff,1
89390ca2343ffff,1
89390cb1a47ffff,0
89390ca0393ffff,1
89390cb1d33ffff,0
89390ca2213ffff,1
89390ca356fffff,1
89390ca23cfffff,1
89390ca0003ffff,0
89390cb0a63ffff,0
89390ca26bbffff,1
89390cb19a3ffff,0
89390cb5317ffff,1
89390ca216fffff,1
89390cb1873ffff,1
89390ca05dbffff,1
89390ca245bffff,1
89390cb5157ffff,0
89390cb1a2fffff,0
89390ca355bffff,1
89390ca2617ffff,1
89390ca3557ffff,1
89390cb5313ffff,1
89390ca20cbffff,1
89390ca3427ffff,1
89390ca23b7ffff,1
89390ca26a3ffff,1
89390cb1da7ffff,0
89390ca261bffff,1
89390ca2157ffff,1
89390cba947ffff,0
89390ca34b3ffff,0
89390ca3097ffff,1
89390cb1b47ffff,0
89390ca0493ffff,1
89390ca0077ffff,1
89390ca24cfffff,0
89390ca368bffff,0
89390ca340fffff,1
89390cb0a33ffff,0
89390ca268bffff,1
89390cb1973ffff,1
89390ca35cbffff,1
89390ca255bffff,1
89390cba92fffff,0
89390ca349bffff,1
89390ca242bffff,1
89390cb1b2fffff,1
89390ca3527ffff,1
89390cb1bbbffff,0
89390ca209bffff,1
89390cb0b4bffff,1
89390cb0a1bffff,1
89390ca2673ffff,1
89390cb1d77ffff,0
89390cb195bffff,1
89390ca2043ffff,1
89390ca2543ffff,1
89390ca2127ffff,1
89390cb182bffff,1
89390ca3483ffff,1
89390cb0bd7ffff,1
89390ca2c4bffff,1
89390cb1b63ffff,0
89390ca2413ffff,0
89390cb1b17ffff,0
89390ca0047ffff,1
89390cb0aa7ffff,1
89390ca0333ffff,1
89390ca2c97ffff,1
89390ca2083ffff,1
89390ca00d3ffff,1
89390ca236fffff,1
89390cb1a73ffff,0
89390ca30b3ffff,1
89390ca2e93ffff,1
89390cb0a03ffff,0
89390cb1943ffff,1
89390cb5357ffff,1
89390ca34cfffff,0
89390cba963ffff,0
89390ca346bffff,1
89390cb5227ffff,1
89390cb1877ffff,1
89390ca002fffff,1
89390ca2173ffff,1
89390cb0a8fffff,1
89390ca22cbffff,1
89390cb19cfffff,1
89390ca2487ffff,0
89390cb1b8bffff,0
89390ca00bbffff,0
89390ca2357ffff,1
89390ca03a7ffff,1
89390ca2227ffff,1
89390ca3453ffff,0
89390ca0147ffff,1
89390ca0017ffff,0
89390ca26cfffff,1
89390cb19a7ffff,0
89390cba973ffff,0
89390cb1b73ffff,0
89390ca2053ffff,1
89390cb1a43ffff,0
89390ca369bffff,0
89390cb1913ffff,1
89390ca343bffff,1
89390ca0007ffff,1
89390ca23cbffff,1
89390ca26b7ffff,1
89390ca216bffff,1
89390ca30abffff,1
89390ca2457ffff,0
89390cb1b5bffff,0
89390ca203bffff,1
89390ca04a7ffff,1
89390ca008bffff,0
89390cb5153ffff,0
89390cb1a2bffff,0
89390ca3683ffff,0
89390ca2613ffff,1
89390ca3553ffff,1
89390ca20c7ffff,1
89390ca3423ffff,1
89390ca23b3ffff,1
89390ca2ed7ffff,1
89390cb1da3ffff,0
