PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO
12301032;"Mercadillo de Navidad del Bulevar de Peña Gorbea";"";"Lunes a domingo, del 4 de diciembre al 7 de enero.";"Puestos: 19   Más información";"Metro: Nueva Numancia (línea 1).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3fe00a49715ed810VgnVCM2000001f4a900aRCRD";"PEÑA GORBEA";"CALLE";"V";"";"";"";"";"";"MADRID";"MADRID";"";"";"";"";"DISTRITO";"443294";"4471941";"40.396147449038054";"-3.6681879961411212";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
11926645;"Mercadillo de las Artes (Distrito Centro)";"";"Sábados.";"Puestos: 20.   Más información";"Metro: Tribunal (líneas 1, 10), Bilbao (líneas 1, 4), Noviciado (línea 2), San Bernardo (líneas 2, 4)";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8ea6ceb45fa36810VgnVCM1000001d4a900aRCRD";"DOS DE MAYO";"PLAZA";"V";"1";"";"";"";"";"MADRID";"MADRID";"28004";"5";"UNIVERSIDAD";"1";"CENTRO";"440242";"4475354";"40.426680736940675";"-3.704464811057942";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
12300676;"Mercadillo de pinos, abetos y otros elementos vegetales de carácter ornamental navideño";"";"24 de noviembre a 25 de diciembre.";"Puestos: 21   Más información";"Metro: Sol (líneas 1, 2, 3),  Ópera (línea 2, 5, Ramal).  Cercanías Renfe: Sol (líneas línea 1, C3, C4).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b283f4c9594ed810VgnVCM1000001d4a900aRCRD";"MAYOR";"PLAZA";"V";"1";"";"";"";"";"MADRID";"MADRID";"28012";"6";"SOL";"1";"CENTRO";"440048";"4474064";"40.41504353587664";"-3.706628270874422";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
19530;"Mercadillo en la vía pública Ciudad de los Ángeles (Distrito Villaverde)";"";"Jueves, de 9 a 14 horas.";"Alimentación, textil y calzado, otros. Puestos: 105.   Más información";"Metro: Villaverde Bajo-Cruce (línea 3).";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=383092355c51c010VgnVCM2000000c205a0aRCRD";"GIGANTES Y CABEZUDOS";"PASEO";"V";"2";"";"";"";"";"MADRID";"MADRID";"28041";"5";"LOS ANGELES";"17";"VILLAVERDE";"441061";"4468040";"40.360850713306675";"-3.6941348502739437";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
11845382;"Mercadillo en la vía pública San Fermín (Distrito Usera)";"";"Martes, de 9 a 14 horas.";"Puestos: 45.   Más información";"Consulta los siguientes enlaces";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0088e3fdb9664810VgnVCM1000001d4a900aRCRD";"PERALES";"CAMINO";"V";"23";"";"";"";"";"MADRID";"MADRID";"28041";"3";"SAN FERMIN";"12";"USERA";"441823";"4468948";"40.3690829380518";"-3.6852444414433685";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
19487;"Mercadillo en la vía pública UVA Hortaleza (Distrito Hortaleza)";"";"Domingos, de 9 a 14 horas.";"Puestos: 104.   Más información";"Metro: Hortaleza (línea 4).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f75f92355c51c010VgnVCM2000000c205a0aRCRD";"ESTACION DE HORTALEZA";"CARRETERA";"V";"";"";"";"";"";"MADRID";"MADRID";"";"";"";"";"DISTRITO";"444260";"4480310";"40.47160076727645";"-3.6575347709464174";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
19633;"Mercadillo en la vía pública de Camino de las Cruces (Distrito Carabanchel)";"";"Lunes, de 9 a 14 horas.";"Puestos: 52.   Más información";"Metro: Carabanchel Alto (línea 11).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=65bf92355c51c010VgnVCM2000000c205a0aRCRD";"CRUCES";"CAMINO";"V";"1";"";"";"";"";"MADRID";"MADRID";"28044";"6";"BUENAVISTA";"11";"CARABANCHEL";"435960";"4469671";"40.37517030110398";"-3.754372488956483";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
19542;"Mercadillo en la vía pública de El Pardo (Distrito Fuencarral - El Pardo)";"";"Viernes, de 9 a 14 horas.";"Puestos: 34.   Más información";"Consulte los siguientes enlaces.";"";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=18cf92355c51c010VgnVCM2000000c205a0aRCRD";"SAN LEANDRO";"CALLE";"V";"2";"";"";"";"";"MADRID";"MADRID";"28048";"1";"EL PARDO";"8";"FUENCARRAL-EL PARDO";"434242";"4485610";"40.518611754917245";"-3.7762542146111637";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
19629;"Mercadillo en la vía pública de Orcasur (Distrito Usera)";"";"Sábados, de 9 a 14 horas.";"Puestos: 82.   Más información";"Metro: San Fermín (línea 3).  Cercanías Renfe: Orcasitas (línea C5).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9d5092355c51c010VgnVCM2000000c205a0aRCRD";"ORCASUR";"AVENIDA";"V";"1";"";"";"";"";"MADRID";"MADRID";"28041";"2";"ORCASUR";"12";"USERA";"440524";"4469103";"40.37038369702176";"-3.700562736556573";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
63209;"Mercadillo en la vía pública de Parque de la Cornisa (Distrito Centro)";"";"Todos los martes y sábados, de 9 a 14 horas.";"Puestos: 85.   Más información";"Metro: Puerta de Toledo (línea 5), Embajadores (línea 3).  Cercanías RENFE: Embajadores (línea C5).";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=68f2e7510551c010VgnVCM2000000c205a0aRCRD";"CAMPILLO DEL MUNDO NUEVO";"PLAZA";"V";"";"";"";"";"";"MADRID";"MADRID";"";"";"";"";"DISTRITO";"439915";"4473170";"40.40698278480366";"-3.7081144633220537";"";"";"";"/contenido/entidadesYorganismos/Comercios/MercadillosViaPublica"
